line_id,mean_margin,skewness,has_numeric,num_median_norm,numeric_count_norm,num_above,num_margin,digit_char_frec,has_digit,area_norm,norm_wid,width_rel,bbox_width_inv,bbox_w_dif,ratio_area_norm,area_inv,area_dif,aspcrat_inv_norm,perimeter_norm,perimeter_inv,perimeter_dif,diag_inv,diag_dif,diag_norm,angle_inv,compact,prev_xmin_align,prev_xmax_align,next_xmin_align,next_xmax_align,align_prev,align_next,center_aling
line_0006,0.886574074,0.514901274,1,1.25,1,1,0.693333333,0.764705882,1,0.758917458,0.970996217,0.749027237,1.070559611,0.929440389,0.758917458,1.049802916,0.950197084,0.867104324,0.971623253,1.066138776,0.933861224,1.069808657,0.930191343,0.971025399,0.847219288,0.970871794,0.995031117,0.833416497,0.99645811,0.997638731,0.921731718,0.999439776,0.886320606
line_0007,0.939732143,0.446358899,1,1.25,1,1,0.693333333,0.764705882,1,1,0.974148802,0.751459144,1.074035454,0.925964546,1,1.383289981,0.616710019,0.826019417,0.987752286,1.083836775,0.916163225,1.074055666,0.925944334,0.974880251,1.10860562,0.761476866,0.996102479,0.997401642,0.996813853,0.96179396,0.999378386,0.980137814,0.885988653
line_0008,0.884615385,0.613008848,1,1.25,1,1,0.693333333,0.764705882,1,0.86034354,0.95334174,0.73540856,1.051094891,0.948905109,0.86034354,1.190104599,0.809895401,0.843711844,0.961186821,1.05468713,0.94531287,1.050763865,0.949236135,0.953739152,0.996091076,0.838116402,0.99645811,0.957535387,0.997071755,0.975605115,0.978156473,0.989678575,0.873072863
line_0009,0.551724138,0.804503644,1,1.25,1,1,0.693333333,0.941176471,1,0.869479711,0.935687264,0.721789883,1.03163017,0.96836983,0.869479711,1.202742573,0.797257427,0.836035662,0.945715456,1.037710775,0.962289225,1.031450144,0.968549856,0.936208808,1.044916763,0.802827331,0.996813853,0.973457996,1,0.909315383,0.988794183,0.955898028,0.865814999
line_0010,1,-0.104300069,1,1,0.8,1,0.293333333,0.647058824,1,0.79286705,1,0.771400778,1.102537365,0.897462635,0.79286705,1.096765046,0.903234954,0.869096351,1,1.097275896,0.902724104,1.101730869,0.898269131,1,0.8345367,0.98437428,1,0.900929041,0.995026484,0.94454717,0.952198274,0.975445297,0.899629273
line_0011,0.564655172,0.800352858,1,1.25,1,1,0.693333333,0.941176471,1,0.761369537,0.953972257,0.735894942,1.051790059,0.948209941,0.761369537,1.053194852,0.946805148,0.861874015,0.956205796,1.049221572,0.950778428,1.051137474,0.948862526,0.954078264,0.88051528,0.937276816,0.994643617,0.940292912,0.995311178,0.936826642,0.973608803,0.967261534,0.879357524
line_0012,0.966517857,0.416250526,1,1.25,1,1,0.693333333,0.764705882,1,0.989555105,0.90668348,0.699416342,0.999652416,0.999652416,0.989555105,1.368841663,0.631158337,0.801262437,0.926621528,1.016759468,0.983240532,1.000197866,0.999802134,0.907842281,1.265912496,0.677213202,0.995026484,0.933007537,0.997820301,0.975304216,0.964990269,0.986915355,0.850710258
line_0013,1,0.41907982,1,1,0.8,1,0.293333333,0.823529412,1,0.781892433,0.926229508,0.714494163,1.021202642,0.978797358,0.781892433,1.081583969,0.918416031,0.849526104,0.932105687,1.022777103,0.977222897,1.020776973,0.979223027,0.926521169,0.959099516,0.867249249,0.99765557,0.97343909,0.995896468,0.922945941,0.986070629,0.96041156,0.862852007
line_0014,1,0.074559356,1,1,0.8,1,0.293333333,0.647058824,1,0.88875341,0.99369483,0.766536965,1.09558568,0.90441432,0.88875341,1.229403688,0.770596312,0.851397334,0.999396239,1.096613404,0.903386596,1.095093975,0.904906025,0.993975939,0.947192764,0.877111427,0.995640632,0.918173121,1,0.941121661,0.957950573,0.971134188,0.902297713
line_0015,0.670833333,0.584813492,1,1,0.8,1,0.293333333,0.882352941,1,0.698398473,0.935687264,0.721789883,1.03163017,0.96836983,0.698398473,0.966087611,0.966087611,0.86829774,0.935929504,1.026972885,0.973027115,1.030887907,0.969112093,0.935698487,0.83962129,0.978911932,1,0.937202839,1,0.959378217,0.969384158,0.980096055,0.871751696
line_0016,0.475,0.931970265,1,0.75,0.6,-1,-0.106666667,0.764705882,1,0.700462321,0.893442623,0.689202335,0.985053876,0.985053876,0.700462321,0.96894251,0.96894251,0.855121872,0.897490081,0.984794233,0.984794233,0.984550256,0.984550256,0.89363953,0.923491055,0.89750146,1,0.957086262,1,0.979234677,0.978974046,0.989823642,0.849728659
